description,price
fujifilm digital camera,$75 
Pioneer Car Stereo 5.8 inch,$250 
Kicker Amplifier DX 400.4,$75 
Bose OE2 Headphones,$90 
Bookshelf speaker stands,
RCA TV,$50 
Jukebox NSM Performer with CDs,$295 
"Free tube tv - 32-37 inches, I think",
Yamaha surround speakers with stands,$20 
KARAOKE machine (4 disks),$35 
37' Vizio TV,$200 
iPod Nano 8GB,$50 
VIZIO E500i-B1 50' 1080p Smart LED HDTV,$300 
HP Pavilion and Asus Laptops,
Kindle,$70 
Nike fuel band,$80 
Beats studio headphones,$100 
Like New Lenovo S6000 Idea Tablet w/ 2 cases,$125 
VIZIO HDMI TV,$400 
160GB ipod classic,$125 
Samsung 32' LED TV,$200 
"12' Comp, Fusion 10' tube 2 amps",
Studio Beats by Dre,$75 
12 inch Sony Xplod Subs and box,$300 
ASUS DROID TABLET 10.1',$250 
Samsung S27D390H 27-Inch Screen LED Monitor,$200 
Logitech z-5300e Logitech Z-5300 5.1-Channel Surround Speaker System,$100 
LG 55' LED Tv,$630 
Logitech wired keyboard,$5 
Laptop Charger for Asus F5VL F5Z F6A F6K F6S Adapter-AC/DC Adapter,$20 
"Sony MDR-370LP/PQ Lightweight Headphones, brand new",$20 
"Sony MDR-Q68LW headphones, brand new",$25 
"Franklin TGA-490 12 Language Speaking Global Translator , Brand New",$140 
Touch Screen Car Stereo (double din),$200 
Authentic Apple iPad Smart Cover,$15 
N600 netgear wireless router,$90 
Vizio TV 37 inch,$60 
AS IS Ipod touch 4th Gen 16GB,$55 
BEATS Studio Headphones,$200 
55 Inch High Definition TV,$165 
2 kicker l5 12's and 2 boss 850 watt amps,$225 
Klipsch Image One II,$50 
Coby Vitruvian Rotating iPod Speaker Dock,$30 
Brand new Ps4,$320 
GoPro Hero4 Silver Newest Model in Box,$350 
Giant HD TV $100 obo,$100 
39' 4K UHD TV,$500 
Remote control Helicopter Trex 250se,$100 
Dayton Audio Multi-Zone 12 Channel Amplifier,$275 
Canon EOS 6D 20.2MP DSLR Camera w/ EF 24-105mmLens,"$2,245 "
Alesis MultiMixer 12 USB,$100 
3 Behringer XM1800S Mics with 2 XLR Cables,$40 
Cisco DPC3825,$60 
Westinghouse 50' LED TV,$275 
CenturyLink Actiontec C1000A ADSL Modem,$50 
Labtec Arena 530-5 piece Surround Sound,$30 
Canon Powershot SD1400is ELPH With Case,$50 
2 12' kicker subs with mounted amp,$250 
Kindle Fire HD - 7in.,$85 
Samsung Galaxy Tab 3,$85 
Kenwood KDC-MP232 CD Receiver,$75 
Mitsubishi 65'HD tv w/entertainment center,$250 
Beltronics V940 Radar Detector,$60 
iPod Nono 7th generation 16GB black!,$130 
Xbox 360 250 gb for sale,$100 
Avid USB Vocal Studio Microphone,$30 
19inch flat screen dynex tv,$40 
skylanders,$200 
US Cellular hot spot & home phone,$30 
Samsung Galaxy Tab 4 Cover,$20 
Harmon Kardon AVR 247 Receiver,$100 
65' HDTV for $65,$65 
Asus 10 inch Android Tablet ME310T,$125 
REDUCED****For Sale: Blue Ray with surround Sound,$225 
Microsoft Surface first gen,$150 
Polaroid Portable DVD Player,$40 
Polk Audio Powered Subwoofer for Home Theater,$100 
Official Apple iPad 2 Smart Cover - BRAND NEW,$25 
Surface - Touch Cover - Perfect Condition *Price Reduced*,$50 
Wii Games and Wii Balance board,$85 
Zeki Tablet,$25 
Selling new tablet 7 inch,$60 
Nikon Coolpix S220 10MP Digital Camera with 3x Optical Zoom,$40 
Sony big screen TV,$100 
Jabra bluetooth speaker,$40 
16GB Zune HD,$100 
vizio smart tv 32 inch,$230 
16GB 7th Generation Ipod Nano,$100 
Sony Blu-Ray/ DVDs player,$50 
Pansonic 50' Flat screen,$200 
Ipod Shuffle 2nd Gen. 1GB,$30 
Brand New!!Pantum P2050 printer,$65 
52' RCA HDTV,$50 
Canon 24-70 Mark II,"$1,750 "
Ti89 for sell,$70 
Xbox 360 and kinect,$250 
cisco wireless router,$10 
Ipad Air,$400 
Brand new Beats earbud headphones,$50 
Call Of Duty Advanced Warfare Xbox 360,$40 
